num,address,city,type,size,sf_avail,rent
1,Rapp Bldg 121-123 2nd St,San Francisco,Office,"30,000 SF","4,051 - 12,153",$35.00 - 45.00 SF/Year
2,329 Bryant St,San Francisco,Office,"23,554 SF","635 - 7,271",$32.00 SF/Year
3,188-190 King St,San Francisco,Apartments,100 Units,"1,100 - 5,600",$70.00 - 75.00 SF/Year
4,740-748 Valencia St,San Francisco,Retail,"9,700 SF","1,500",$52.00 SF/Year
5,48 2nd St,San Francisco,Office,"13,200 SF","2,000 - 8,618",Withheld
6,303 2nd St,San Francisco,Office,"784,658 SF","1,807 - 450,892",Withheld
7,Levi's Plaza | 1160 East &… 1160 Battery St,San Francisco,Office,"228,039 SF","10 - 55,636",Withheld
8,45 Belden Pl,San Francisco,Office,"17,375 SF","2,035",$45.00 SF/Year
9,411 Borel Ave,San Mateo,Office,"141,134 SF","1,191 - 44,018",$35.40 SF/Year
10,Harold Dollar Building 351 California St,San Francisco,Office,"140,000 SF","1,500 - 48,352",$19.00 - 72.00 SF/Year
11,Colorado Business Offices 711-719 Colorado Ave,Palo Alto,Office,"7,516 SF",950,$78.00 SF/Year
12,150 S Park Ave,San Francisco,Office,"3,700 SF","1,850 - 3,700",$96.00 SF/Year
13,17-19 S Park St,San Francisco,Office,"3,500 SF","2,000 $120.00",SF/Year
14,77 N San Mateo Dr,San Mateo,Office,"11,393 SF","11,393",$78.00 SF/Year
15,North Bldg 2301-2475 3rd St,San Francisco,Flex,"460,000 SF","100 - 6,335",Withheld
16,325 9th St,San Francisco,Office,"16,875 SF","5,625 - 11,250",Withheld
17,1045 Bryant St,San Francisco,Office,"32,953 SF","4,361 - 24,711",Withheld
18,715 Colorado Ave,Palo Alto,Office,"7,516 SF",950,Withheld
19,3373 Middlefield Rd,Palo Alto,Specialty,"11,219 SF","9,872",Withheld
20,257 Castro St,Mountain View,Office,"14,800 SF","270 - 3,600",$48.00 - 63.00 SF/Year
21,3295 El Camino Real,Atherton,Office,"9,289 SF","8,600 - 17,889",$42.00 SF/Year
22,100-112 Gough St,San Francisco,Office,"13,200 SF",145 - 944,$19.32 - 63.00 SF/Year
23,425 Harbor Blvd,Belmont,Flex,"32,000 SF","1,200 - 3,200",$24.00 SF/Year
24,930 Montgomery St,San Francisco,Office,"24,156 SF","3,152",$38.00 SF/Year
25,1475 E Bayshore Rd,East Palo Alto,Flex,"1,150 SF","1,150",Withheld
26,695 Oak Grove Ave,Menlo Park,Office,"17,835 SF","1,430",Withheld
27,156 S Park St,San Francisco,Office,"3,561 SF","352 - 3,561",$79.00 SF/Year
28,The Flatiron Bldg 1 Sutter St,San Francisco,Office,"34,258 SF","909 - 12,183",Withheld
29,410 Townsend St,San Francisco,Office,"78,000 SF","7,649 - 36,245",Withheld
30,50 California 50 California St,San Francisco,Office,"700,785 SF","10 - 171,899",Withheld
