city,neighborhood,address,total_spaces,published_spaces,searchable_spaces,avg_llm_score,owner_name,owner_website,owner_linkedin,boston_caveat
Boston,Seaport,22 Boston Wharf Rd,1,1,0,0.820,"Invesco Advisers, Inc.",,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Downtown,55 Union St,3,3,0,0.787,Edwin Kaplan,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Downtown,66 Long Wharf,2,2,0,0.780,"No public website found, No LinkedIn page found",,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Downtown,11 Ave de Lafayette,2,2,0,0.770,"https://www.mc-realestate.com/, https://www.linkedin.com/company/mc-real-estate-partners/",,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,South End,46 Wareham St,1,1,0,0.760,,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Back Bay,149 Newbury St,1,1,0,0.760,Azora Private Solutions LLC,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Downtown,600 Atlantic Ave,2,1,0,0.760,Federal Reserve Bank of Boston,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Downtown,1 Congress St,2,1,0,0.748,,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Downtown,125 Summer St,1,1,0,0.720,Alony Hetz,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
Boston,Downtown,399 Boylston St,4,3,0,0.700,Perform Properties,,,"WARNING: Boston shows 0 active matches across all neighborhoods despite 445 buildings and 2,016 spaces in the DB. Investigate match conversion before acting on this list. — Ian Ostberg"
