city,neighborhood,address,total_spaces,published_spaces,searchable_spaces,avg_llm_score,owner_name,owner_website,owner_linkedin,boston_caveat
New York,NYC - Chelsea,236 W 30th St,4,2,0,0.905,Grokash Realty Associates,,Not found,
New York,NYC - SOHO,495 Broadway,1,1,0,0.900,,,,
New York,NYC - SOHO,75 Spring St,2,1,0,0.830,Greystone Management,https://www.greystonemgt.com/,https://www.linkedin.com/company/greystone-management-corporation/,
New York,NYC - Flatiron,184 5th Ave,2,1,0,0.830,"European-American Properties, Inc.",,,
New York,NYC - Chelsea,412 W 15th St,3,3,0,0.827,,,,
New York,NYC - FIDI,150 Beekman St,1,1,0,0.820,,,,
New York,NYC - Chelsea,119-125 W 24th St,1,1,0,0.820,,,,
New York,NYC - Tribeca,412 Broadway,3,2,0,0.807,Milestone Equities,https://www.milestonegp.com/,https://www.linkedin.com/company/milestone-sales-and-lettings/,
New York,NYC - FIDI,7 World Trade Center,4,4,0,0.805,,,,
New York,NYC - Chelsea,220 W 19th St,5,2,0,0.804,Diesel,http://www.dieselproperties.com/,Not found,
New York,NYC - Chelsea,543-545 W 25th St,5,3,0,0.800,The Flag Art Foundation,,,
New York,NYC - Chelsea,635-641 6th Ave,2,2,0,0.800,,,,
New York,NYC - SOHO,148 Lafayette St,1,1,0,0.800,Tishman Speyer,,,
New York,NYC - NoMad,236 5th Ave,1,1,0,0.800,"Marlin Realty, Inc.",,,
New York,NYC - Chelsea,150 W 28th St,1,1,0,0.800,,,,
New York,NYC - Hudson Square,16 Vestry St,2,1,0,0.800,,,,
New York,NYC - Flatiron,22 W 21st St,4,2,0,0.795,Dezer Properties,,,
New York,NYC - Flatiron,315 Park Ave S,3,3,0,0.793,,,,
New York,NYC - Chelsea,104 W 27th St,3,1,0,0.793,www.davisrealtynyc.com,,,
New York,NYC - Flatiron,20 W 22nd St,5,2,0,0.790,ABS Partners Real Estate LLC,,,
New York,NYC - Hudson Square,330 Hudson St,2,1,0,0.790,Whitehall Property Management,,,
New York,NYC - FIDI,59 Maiden Ln,1,1,0,0.780,,,,
New York,NYC - Flatiron,11 Madison Ave,2,1,0,0.780,www.pgim.com,,,
New York,NYC - SOHO,524 Broadway,1,1,0,0.780,,,,
New York,NYC - Chelsea,135 W 27th St,2,1,0,0.780,,,,
